257	7	a	blower motor brushs electrician nil nil jamie rayner phone found top right brush holder raised notification change rh blower
978	7	a	replace contactor
913	7	a	utc corey oliver phone brief description occurred basic sequence events impacts avoiding use personnel hv electrician carry downloads payload next service day check hv lechy utc corey oliver phone brief description occurred basic sequence events impacts avoiding use personnel hv electrician carry downloads payload next service day check hv lechy define work including known materials specialist labour special tools
956	7	a	replace brushes
835	2	a	rp contactor assy
1473	7	a	materials task list amended user pomed notification
1313	7	a	brief description occurred basic sequence events impacts avoiding use personnel main alt brushes need changed getting raised notification brief description occurred basic sequence events impacts avoiding use personnel main alt brushes need changed getting raised notification define work including known materials specialist labour special tools required hv sparky hours
306	7	a	week service noticed visual inspection rp contacts worn need electrician
14	7	a	propulsion checked faults found counts direction signal found forward reverse requested checked selector foun quite worn magnet shorting solder joints pcboard replace elec hr utc mitchell thorning replaced selector test
933	7	a	upon service found blower brushes blower motor short need rectified replacing new brushes electrician hand tools utc james bayntun phone completed replaced brushes service
857	3	a	blow coil manufactured putting strain insulators may cause flash blow coil change elec hr contactor
385	7	a	extra filters
379	7	a	tips made notification lecky hr nil nil
1154	7	a	utc jeff peterson phone investigate fuel gauge light utc jeff peterson phone investigate fuel gauge light
358	7	a	gf tips replaced made notification lecky hrs nil nil
782	3	a	grid blower delta fault blowers different fan due number name plate suspect causing imbalance current draw two blower motors occured another
901	7	a	replace alt brushes
801	3	a	blower fault active electricians sent investigate fault notification raised electricians
312	7	a	tips sad go till next service lekky hours set tips
1002	2	a	workshop horn working correctly needs entered notification electrician hours nil nil
123	7	a	lecky hrs change alternator brushes made notification alternator brushes nil nil
1510	3	a	blew melted tips need rplacing contactor arc chute contact kit electrician hrs
717	3	a	grid blower motor commutator poor needs cleaned commutator replaced brushes entered notification electrician hours nil nil
1527	7	a	brief description occurred basic sequence events impacts avoiding use personnel alternator brushes need brushes replaced service ok notification raised brief description occurred basic sequence events impacts avoiding use personnel alternator brushes need brushes replaced service ok notification raised define work including known materials specialist labour special tools required komatsu hv hour
645	3	a	task list attached
968	2	a	replace contactor
1395	7	a	brief description occurred basic sequence events impacts avoiding use personnel replace hoist hoses starting photo attached show raised notification brief description occurred basic sequence events impacts avoiding use personnel replace hoist hoses starting photo attached show raised notification define work including known materials specialist labour special tools required fitter hours hose hose
263	7	a	rh blower motor brushs raised notification booked fitted parts returned electrician nil nil
513	3	a	phase modules need replacing hours electrician fitter
